"Taxon","N_dates","Oldest_14C_BP","Earliest_arrival_calBP","Earliest_arrival_calAD","Boundary_lower_calBP","Boundary_upper_calBP","Boundary_lower_calAD","Boundary_upper_calAD","SPD_peak_calBP","SPD_peak_calAD"
"Bean",44,920,834,1116,576,915,1035,1374,655,1295
"Maize",109,1050,954,996,723,1053,897,1227,672,1278
